r, Channel 1, Channel 2
5.32, 0.599473, 0.000393358
5.33, 0.606112, 0.000473103
5.34, 0.612729, 0.000552198
5.35, 0.619323, 0.000630278
5.36, 0.625894, 0.000706976
5.37, 0.632443, 0.000781925
5.38, 0.638969, 0.00085476
5.39, 0.645472, 0.000925119
5.4, 0.651953, 0.000992647
5.41, 0.658412, 0.00105699
5.42, 0.664848, 0.00111781
5.43, 0.671261, 0.00117477
5.44, 0.677652, 0.00122756
5.45, 0.684021, 0.00127585
5.46, 0.690367, 0.00131936
5.47, 0.696691, 0.0013578
5.48, 0.702993, 0.00139091
5.49, 0.709272, 0.00141844
5.5, 0.715529, 0.00144017
5.51, 0.721764, 0.00145589
5.52, 0.727976, 0.00146541
5.53, 0.734167, 0.00146856
5.54, 0.740336, 0.00146522
5.55, 0.746482, 0.00145526
5.56, 0.752607, 0.00143858
5.57, 0.75871, 0.00141514
5.58, 0.764792, 0.00138487
5.59, 0.770851, 0.00134778
5.6, 0.776889, 0.00130388
5.61, 0.782906, 0.0012532
5.62, 0.788901, 0.00119582
5.63, 0.794876, 0.00113183
5.64, 0.800829, 0.00106136
5.65, 0.80676, 0.000984563
5.66, 0.812671, 0.000901616
5.67, 0.818561, 0.000812728
5.68, 0.824431, 0.000718132
5.69, 0.830279, 0.000618089
5.7, 0.836108, 0.000512885
5.71, 0.841916, 0.00040283
5.72, 0.847703, 0.00028826
5.73, 0.85347, 0.000169532
5.74, 0.859218, 4.70282e-05
5.75, 0.864945, -7.88508e-05
5.76, 0.870653, -0.000207683
5.77, 0.876341, -0.000339029
5.78, 0.882009, -0.00047243
5.79, 0.887658, -0.000607412
5.8, 0.893287, -0.000743488
5.81, 0.898898, -0.000880157
5.82, 0.904489, -0.00101691
5.83, 0.910061, -0.00115321
5.84, 0.915614, -0.00128855
5.85, 0.921149, -0.00142238
5.86, 0.926665, -0.00155416
5.87, 0.932162, -0.00168335
5.88, 0.937641, -0.00180941
5.89, 0.943101, -0.0019318
5.9, 0.948543, -0.00204997
5.91, 0.953967, -0.00216339
5.92, 0.959373, -0.00227154
5.93, 0.964761, -0.00237389
5.94, 0.97013, -0.00246995
5.95, 0.975482, -0.00255921
5.96, 0.980816, -0.0026412
5.97, 0.986133, -0.00271546
5.98, 0.991431, -0.00278153
5.99, 0.996712, -0.002839
6, 1.00198, -0.00288745
6.01, 1.00722, -0.00292651
6.02, 1.01245, -0.00295583
6.03, 1.01766, -0.00297506
6.04, 1.02285, -0.00298392
6.05, 1.02803, -0.00298212
6.06, 1.03319, -0.00296943
6.07, 1.03833, -0.00294562
6.08, 1.04345, -0.00291054
6.09, 1.04856, -0.00286402
6.1, 1.05365, -0.00280596
6.11, 1.05872, -0.00273628
6.12, 1.06378, -0.00265494
6.13, 1.06881, -0.00256194
6.14, 1.07383, -0.00245731
6.15, 1.07884, -0.00234113
6.16, 1.08382, -0.00221349
6.17, 1.08879, -0.00207456
6.18, 1.09374, -0.00192451
6.19, 1.09868, -0.00176356
6.2, 1.10359, -0.00159197
6.21, 1.10849, -0.00141004
6.22, 1.11337, -0.0012181
6.23, 1.11824, -0.00101652
6.24, 1.12308, -0.000805704
6.25, 1.12791, -0.000586085
6.26, 1.13272, -0.000358137
6.27, 1.13752, -0.000122365
6.28, 1.14229, 0.000120698
6.29, 1.14705, 0.000370483
6.3, 1.1518, 0.000626399
6.31, 1.15652, 0.000887822
6.32, 1.16123, 0.0011541
6.33, 1.16591, 0.00142458
6.34, 1.17059, 0.00169854
6.35, 1.17524, 0.00197528
6.36, 1.17988, 0.00225407
6.37, 1.18449, 0.00253415
6.38, 1.18909, 0.00281475
6.39, 1.19368, 0.00309511
6.4, 1.19824, 0.00337441
6.41, 1.20279, 0.00365187
6.42, 1.20732, 0.00392668
6.43, 1.21183, 0.00419803
6.44, 1.21633, 0.0044651
6.45, 1.22081, 0.00472708
6.46, 1.22527, 0.00498315
6.47, 1.22971, 0.00523252
6.48, 1.23413, 0.00547438
6.49, 1.23854, 0.00570793
6.5, 1.24293, 0.00593239
6.51, 1.2473, 0.006147
6.52, 1.25166, 0.00635101
6.53, 1.256, 0.00654367
6.54, 1.26032, 0.00672426
6.55, 1.26462, 0.00689211
6.56, 1.26891, 0.00704652
6.57, 1.27318, 0.00718686
6.58, 1.27743, 0.00731251
6.59, 1.28166, 0.00742287
6.6, 1.28588, 0.00751739
6.61, 1.29008, 0.00759555
6.62, 1.29427, 0.00765683
6.63, 1.29844, 0.0077008
6.64, 1.30259, 0.00772703
6.65, 1.30672, 0.00773512
6.66, 1.31084, 0.00772475
6.67, 1.31494, 0.00769561
6.68, 1.31903, 0.00764743
6.69, 1.3231, 0.00758
6.7, 1.32715, 0.00749312
6.71, 1.33118, 0.00738669
6.72, 1.33521, 0.00726059
6.73, 1.33921, 0.00711478
6.74, 1.3432, 0.00694927
6.75, 1.34717, 0.0067641
6.76, 1.35113, 0.00655935
6.77, 1.35507, 0.00633515
6.78, 1.359, 0.00609169
6.79, 1.36291, 0.00582918
6.8, 1.3668, 0.00554789
6.81, 1.37068, 0.00524813
6.82, 1.37455, 0.00493024
6.83, 1.3784, 0.00459462
6.84, 1.38223, 0.00424171
6.85, 1.38605, 0.00387197
6.86, 1.38986, 0.00348591
6.87, 1.39365, 0.0030841
6.88, 1.39742, 0.0026671
6.89, 1.40118, 0.00223555
6.9, 1.40493, 0.00179009
6.91, 1.40866, 0.00133142
6.92, 1.41238, 0.000860243
6.93, 1.41608, 0.000377313
6.94, 1.41977, -0.000116599
6.95, 1.42344, -0.000620698
6.96, 1.4271, -0.00113416
6.97, 1.43074, -0.00165615
6.98, 1.43437, -0.0021858
6.99, 1.43799, -0.00272224
7, 1.44159, -0.00326456
7.01, 1.44518, -0.00381188
7.02, 1.44875, -0.00436325
7.03, 1.45231, -0.00491777
7.04, 1.45585, -0.00547449
7.05, 1.45938, -0.00603248
7.06, 1.4629, -0.0065908
7.07, 1.4664, -0.0071485
7.08, 1.46989, -0.00770465
7.09, 1.47336, -0.00825831
7.1, 1.47682, -0.00880855
7.11, 1.48027, -0.00935445
7.12, 1.4837, -0.0098951
7.13, 1.48712, -0.0104296
7.14, 1.49052, -0.0109571
7.15, 1.49391, -0.0114766
7.16, 1.49728, -0.0119874
7.17, 1.50064, -0.0124886
7.18, 1.50399, -0.0129794
7.19, 1.50732, -0.013459
7.2, 1.51063, -0.0139266
7.21, 1.51394, -0.0143815
7.22, 1.51723, -0.014823
7.23, 1.5205, -0.0152505
7.24, 1.52376, -0.0156631
7.25, 1.527, -0.0160604
7.26, 1.53023, -0.0164418
7.27, 1.53345, -0.0168066
7.28, 1.53665, -0.0171543
7.29, 1.53984, -0.0174846
7.3, 1.54301, -0.0177968
7.31, 1.54616, -0.0180906
7.32, 1.54931, -0.0183657
7.33, 1.55243, -0.0186215
7.34, 1.55555, -0.018858
7.35, 1.55864, -0.0190747
7.36, 1.56173, -0.0192715
7.37, 1.5648, -0.0194481
7.38, 1.56785, -0.0196044
7.39, 1.57089, -0.0197403
7.4, 1.57391, -0.0198557
7.41, 1.57692, -0.0199505
7.42, 1.57991, -0.0200247
7.43, 1.58289, -0.0200783
7.44, 1.58586, -0.0201115
7.45, 1.5888, -0.0201242
7.46, 1.59174, -0.0201166
7.47, 1.59466, -0.0200889
7.48, 1.59756, -0.0200413
7.49, 1.60045, -0.0199739
7.5, 1.60332, -0.019887
7.51, 1.60618, -0.019781
7.52, 1.60903, -0.019656
7.53, 1.61185, -0.0195124
7.54, 1.61467, -0.0193506
7.55, 1.61747, -0.0191709
7.56, 1.62025, -0.0189738
7.57, 1.62302, -0.0187596
7.58, 1.62578, -0.0185288
7.59, 1.62851, -0.0182819
7.6, 1.63124, -0.0180192
7.61, 1.63395, -0.0177413
7.62, 1.63664, -0.0174487
7.63, 1.63932, -0.0171419
7.64, 1.64199, -0.0168213
7.65, 1.64464, -0.0164876
7.66, 1.64728, -0.0161412
7.67, 1.6499, -0.0157827
7.68, 1.6525, -0.0154127
7.69, 1.6551, -0.0150315
7.7, 1.65767, -0.0146399
7.71, 1.66024, -0.0142382
7.72, 1.66278, -0.0138272
7.73, 1.66532, -0.0134072
7.74, 1.66784, -0.0129788
7.75, 1.67034, -0.0125426
7.76, 1.67283, -0.0120991
7.77, 1.67531, -0.0116487
7.78, 1.67777, -0.0111919
7.79, 1.68022, -0.0107293
7.8, 1.68265, -0.0102612
7.81, 1.68507, -0.00978825
7.82, 1.68748, -0.00931077
7.83, 1.68987, -0.00882922
7.84, 1.69225, -0.00834401
7.85, 1.69461, -0.00785553
7.86, 1.69696, -0.00736416
7.87, 1.69929, -0.00687026
7.88, 1.70162, -0.00637418
7.89, 1.70392, -0.00587624
7.9, 1.70622, -0.00537674
7.91, 1.70849, -0.00487596
7.92, 1.71076, -0.00437419
7.93, 1.71301, -0.00387165
7.94, 1.71525, -0.00336858
7.95, 1.71747, -0.00286518
7.96, 1.71968, -0.00236164
7.97, 1.72188, -0.00185812
7.98, 1.72406, -0.00135478
7.99, 1.72622, -0.000851731
8, 1.72838, -0.000349088
8.01, 1.73052, 0.000153059
8.02, 1.73264, 0.000654642
8.03, 1.73476, 0.00115561
