r Re(potential) Im(potential) Coupling
6.83 -77.2927 -14.0532 77.7716
6.84 -76.8312 -13.9693 78.398
6.85 -76.366 -13.8847 79.0162
6.86 -75.8972 -13.7995 79.6257
6.87 -75.4248 -13.7136 80.2262
6.88 -74.9489 -13.6271 80.8173
6.89 -74.4695 -13.5399 81.3986
6.9 -73.9868 -13.4521 81.9698
6.91 -73.5007 -13.3638 82.5304
6.92 -73.0113 -13.2748 83.0801
6.93 -72.5186 -13.1852 83.6186
6.94 -72.0229 -13.0951 84.1454
6.95 -71.524 -13.0044 84.6602
6.96 -71.0222 -12.9131 85.1626
6.97 -70.5174 -12.8213 85.6524
6.98 -70.0098 -12.7291 86.1292
6.99 -69.4994 -12.6362 86.5925
7 -68.9863 -12.543 87.0422
7.01 -68.4705 -12.4492 87.4778
7.02 -67.9523 -12.355 87.8991
7.03 -67.4316 -12.2603 88.3057
7.04 -66.9085 -12.1652 88.6973
