r Channel_1(Re) Channel_1(Im) Channel_2(Re) Channel_2(Im)
4.63 0.168801 -0.0718626 -0.0027976 -0.0241508
4.64 0.17101 -0.0741065 -0.00285892 -0.0243494
4.65 0.173081 -0.0762894 -0.00291723 -0.0245309
4.66 0.175014 -0.0784094 -0.00297246 -0.0246952
4.67 0.176807 -0.0804649 -0.00302453 -0.0248422
4.68 0.178458 -0.0824542 -0.00307336 -0.0249717
4.69 0.179966 -0.0843757 -0.00311889 -0.0250836
4.7 0.181331 -0.086228 -0.00316104 -0.0251778
4.71 0.182551 -0.0880096 -0.00319976 -0.0252542
4.72 0.183625 -0.089719 -0.00323496 -0.0253127
4.73 0.184554 -0.0913549 -0.00326661 -0.0253532
4.74 0.185335 -0.0929159 -0.00329463 -0.0253758
4.75 0.18597 -0.094401 -0.00331897 -0.0253803
4.76 0.186456 -0.0958089 -0.00333958 -0.0253667
4.77 0.186795 -0.0971385 -0.00335642 -0.0253349
4.78 0.186986 -0.0983887 -0.00336942 -0.0252851
4.79 0.187029 -0.0995586 -0.00337855 -0.0252172
4.8 0.186924 -0.100647 -0.00338378 -0.0251311
4.81 0.186671 -0.101654 -0.00338505 -0.025027
4.82 0.186271 -0.102577 -0.00338234 -0.0249048
4.83 0.185724 -0.103417 -0.00337562 -0.0247646
