r, Channel 1, Channel 2
3.61, 0.0470673, 0.0112219
3.62, 0.0450308, 0.0109203
3.63, 0.0429498, 0.0106077
3.64, 0.0408264, 0.0102843
3.65, 0.0386627, 0.00995053
3.66, 0.0364611, 0.00960672
3.67, 0.0342238, 0.00925321
3.68, 0.0319531, 0.00889038
3.69, 0.0296512, 0.00851859
3.7, 0.0273204, 0.00813823
3.71, 0.0249632, 0.00774966
3.72, 0.0225818, 0.00735329
3.73, 0.0201786, 0.00694952
3.74, 0.017756, 0.00653873
3.75, 0.0153163, 0.00612134
3.76, 0.0128618, 0.00569775
3.77, 0.0103951, 0.00526839
3.78, 0.00791839, 0.00483366
3.79, 0.00543411, 0.004394
3.8, 0.00294461, 0.00394981
3.81, 0.000452253, 0.00350153
3.82, -0.0020406, 0.00304959
3.83, -0.00453162, 0.00259441
3.84, -0.00701848, 0.00213643
3.85, -0.00949886, 0.00167608
3.86, -0.0119705, 0.00121379
3.87, -0.014431, 0.000749981
3.88, -0.0168783, 0.000285099
3.89, -0.01931, -0.000180432
3.9, -0.021724, -0.000646181
3.91, -0.0241181, -0.00111172
3.92, -0.0264901, -0.00157663
3.93, -0.0288378, -0.00204047
3.94, -0.0311594, -0.00250284
3.95, -0.0334525, -0.00296331
3.96, -0.0357153, -0.00342147
3.97, -0.0379458, -0.00387691
3.98, -0.0401419, -0.00432921
3.99, -0.0423018, -0.00477799
4, -0.0444237, -0.00522283
4.01, -0.0465056, -0.00566336
4.02, -0.0485459, -0.00609917
4.03, -0.0505428, -0.00652989
4.04, -0.0524945, -0.00695514
4.05, -0.0543995, -0.00737456
4.06, -0.0562561, -0.00778778
4.07, -0.0580628, -0.00819443
4.08, -0.0598181, -0.00859419
4.09, -0.0615206, -0.00898669
4.1, -0.0631688, -0.00937161
4.11, -0.0647615, -0.00974861
4.12, -0.0662973, -0.0101174
4.13, -0.067775, -0.0104776
4.14, -0.0691934, -0.010829
4.15, -0.0705514, -0.0111713
4.16, -0.071848, -0.0115041
4.17, -0.0730821, -0.0118272
4.18, -0.0742528, -0.0121404
4.19, -0.0753591, -0.0124433
4.2, -0.0764003, -0.0127358
4.21, -0.0773756, -0.0130176
4.22, -0.0782842, -0.0132884
4.23, -0.0791255, -0.013548
4.24, -0.0798989, -0.0137963
4.25, -0.0806038, -0.014033
4.26, -0.0812398, -0.014258
4.27, -0.0818065, -0.014471
4.28, -0.0823034, -0.014672
4.29, -0.0827303, -0.0148607
4.3, -0.083087, -0.0150369
4.31, -0.0833732, -0.0152006
4.32, -0.0835888, -0.0153517
4.33, -0.0837337, -0.01549
4.34, -0.083808, -0.0156154
4.35, -0.0838117, -0.0157278
4.36, -0.0837448, -0.0158272
4.37, -0.0836076, -0.0159134
4.38, -0.0834002, -0.0159864
4.39, -0.083123, -0.0160462
4.4, -0.0827762, -0.0160927
4.41, -0.0823603, -0.0161259
4.42, -0.0818757, -0.0161457
4.43, -0.0813228, -0.0161523
4.44, -0.0807023, -0.0161455
4.45, -0.0800146, -0.0161253
4.46, -0.0792605, -0.0160919
4.47, -0.0784407, -0.0160452
4.48, -0.0775559, -0.0159853
4.49, -0.0766068, -0.0159123
4.5, -0.0755944, -0.0158261
4.51, -0.0745195, -0.0157269
4.52, -0.0733831, -0.0156148
4.53, -0.0721861, -0.0154899
4.54, -0.0709296, -0.0153522
4.55, -0.0696146, -0.0152019
