r, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
51.83, -0.29802, -0.558526, -0.480615, -0.292512, -0.0358671
51.84, -0.291202, -0.559408, -0.478844, -0.285828, -0.034816
51.85, -0.284345, -0.560219, -0.477013, -0.279109, -0.0337607
51.86, -0.277451, -0.560959, -0.47512, -0.272355, -0.0327013
51.87, -0.270521, -0.561628, -0.473168, -0.265568, -0.031638
51.88, -0.263555, -0.562225, -0.471155, -0.258749, -0.0305707
51.89, -0.256554, -0.562751, -0.469082, -0.251897, -0.0294998
51.9, -0.24952, -0.563205, -0.466949, -0.245014, -0.0284252
51.91, -0.242452, -0.563587, -0.464756, -0.238101, -0.0273472
51.92, -0.235353, -0.563897, -0.462504, -0.231159, -0.0262658
51.93, -0.228223, -0.564135, -0.460192, -0.224187, -0.0251812
51.94, -0.221063, -0.5643, -0.457822, -0.217188, -0.0240936
51.95, -0.213875, -0.564393, -0.455393, -0.210162, -0.0230029
51.96, -0.206658, -0.564414, -0.452905, -0.20311, -0.0219094
51.97, -0.199413, -0.564362, -0.450359, -0.196032, -0.0208132
51.98, -0.192143, -0.564237, -0.447755, -0.188929, -0.0197145
51.99, -0.184848, -0.564039, -0.445093, -0.181803, -0.0186133
52, -0.177528, -0.563769, -0.442374, -0.174654, -0.0175097
52.01, -0.170185, -0.563425, -0.439598, -0.167483, -0.016404
52.02, -0.16282, -0.563009, -0.436765, -0.16029, -0.0152962
52.03, -0.155433, -0.56252, -0.433875, -0.153077, -0.0141864
52.04, -0.148026, -0.561957, -0.430929, -0.145844, -0.0130749
52.05, -0.1406, -0.561322, -0.427927, -0.138593, -0.0119617
52.06, -0.133156, -0.560614, -0.424869, -0.131323, -0.0108469
52.07, -0.125694, -0.559832, -0.421756, -0.124037, -0.00973074
52.08, -0.118215, -0.558977, -0.418587, -0.116734, -0.00861327
52.09, -0.110721, -0.55805, -0.415365, -0.109416, -0.00749465
52.1, -0.103213, -0.557049, -0.412087, -0.102083, -0.00637501
52.11, -0.0956916, -0.555975, -0.408756, -0.0947365, -0.00525447
52.12, -0.0881575, -0.554829, -0.405371, -0.0873771, -0.00413316
52.13, -0.080612, -0.553609, -0.401933, -0.0800056, -0.00301122
52.14, -0.0730561, -0.552316, -0.398442, -0.072623, -0.00188879
52.15, -0.0654907, -0.550951, -0.394899, -0.0652301, -0.000765977
52.16, -0.0579169, -0.549513, -0.391303, -0.0578277, 0.000357071
52.17, -0.0503357, -0.548003, -0.387655, -0.0504168, 0.00148023
52.18, -0.042748, -0.54642, -0.383957, -0.0429981, 0.00260336
52.19, -0.0351549, -0.544764, -0.380207, -0.0355725, 0.00372634
52.2, -0.0275574, -0.543037, -0.376407, -0.0281409, 0.00484903
52.21, -0.0199565, -0.541237, -0.372557, -0.0207042, 0.0059713
52.22, -0.0123532, -0.539365, -0.368657, -0.0132632, 0.00709302
52.23, -0.00474849, -0.537421, -0.364708, -0.00581886, 0.00821406
52.24, 0.00285663, -0.535406, -0.36071, 0.00162803, 0.00933429
52.25, 0.0104612, -0.533319, -0.356663, 0.00907657, 0.0104536
52.26, 0.0180641, -0.531161, -0.352569, 0.0165259, 0.0115718
52.27, 0.0256643, -0.528932, -0.348428, 0.0239751, 0.0126887
52.28, 0.033261, -0.526632, -0.344239, 0.0314233, 0.0138044
52.29, 0.0408531, -0.524261, -0.340005, 0.0388697, 0.0149185
52.3, 0.0484395, -0.521819, -0.335724, 0.0463133, 0.0160311
52.31, 0.0560193, -0.519308, -0.331398, 0.0537533, 0.0171419
52.32, 0.0635915, -0.516726, -0.327026, 0.0611887, 0.0182508
52.33, 0.071155, -0.514075, -0.322611, 0.0686188, 0.0193578
52.34, 0.0787089, -0.511354, -0.318151, 0.0760425, 0.0204626
52.35, 0.0862523, -0.508564, -0.313648, 0.0834591, 0.0215651
52.36, 0.093784, -0.505705, -0.309102, 0.0908676, 0.0226652
52.37, 0.101303, -0.502778, -0.304514, 0.0982672, 0.0237627
52.38, 0.108809, -0.499783, -0.299885, 0.105657, 0.0248576
52.39, 0.116299, -0.496719, -0.295213, 0.113036, 0.0259497
52.4, 0.123775, -0.493588, -0.290502, 0.120403, 0.0270389
52.41, 0.131234, -0.49039, -0.28575, 0.127758, 0.028125
52.42, 0.138675, -0.487124, -0.280959, 0.135099, 0.0292078
52.43, 0.146098, -0.483793, -0.276128, 0.142426, 0.0302874
52.44, 0.153501, -0.480395, -0.27126, 0.149738, 0.0313634
52.45, 0.160884, -0.476931, -0.266353, 0.157033, 0.0324359
52.46, 0.168245, -0.473402, -0.26141, 0.164312, 0.0335046
52.47, 0.175584, -0.469808, -0.25643, 0.171572, 0.0345695
