r, Channel 1
12.33, 0.508246
12.34, 0.504224
12.35, 0.500192
12.36, 0.496148
12.37, 0.492094
12.38, 0.488029
12.39, 0.483953
12.4, 0.479867
12.41, 0.475771
12.42, 0.471664
12.43, 0.467546
12.44, 0.463419
12.45, 0.459282
12.46, 0.455134
12.47, 0.450977
12.48, 0.44681
12.49, 0.442633
12.5, 0.438447
12.51, 0.434251
12.52, 0.430045
12.53, 0.42583
12.54, 0.421606
12.55, 0.417373
12.56, 0.413131
12.57, 0.408879
12.58, 0.404619
12.59, 0.40035
12.6, 0.396073
12.61, 0.391786
12.62, 0.387491
12.63, 0.383188
12.64, 0.378877
12.65, 0.374557
12.66, 0.370229
12.67, 0.365893
12.68, 0.361549
12.69, 0.357197
12.7, 0.352837
12.71, 0.34847
12.72, 0.344095
12.73, 0.339713
12.74, 0.335323
12.75, 0.330926
12.76, 0.326522
12.77, 0.322111
12.78, 0.317692
12.79, 0.313267
12.8, 0.308835
12.81, 0.304396
12.82, 0.299951
12.83, 0.295499
12.84, 0.291041
12.85, 0.286576
12.86, 0.282105
12.87, 0.277628
12.88, 0.273145
12.89, 0.268656
12.9, 0.264161
12.91, 0.259661
12.92, 0.255154
12.93, 0.250643
12.94, 0.246125
12.95, 0.241603
12.96, 0.237075
12.97, 0.232542
12.98, 0.228004
12.99, 0.223461
13, 0.218913
13.01, 0.21436
13.02, 0.209803
13.03, 0.205241
13.04, 0.200675
13.05, 0.196104
13.06, 0.191529
13.07, 0.18695
13.08, 0.182367
13.09, 0.17778
13.1, 0.173189
13.11, 0.168594
13.12, 0.163995
13.13, 0.159393
13.14, 0.154788
13.15, 0.150179
13.16, 0.145567
13.17, 0.140952
13.18, 0.136333
13.19, 0.131712
13.2, 0.127088
13.21, 0.122461
13.22, 0.117831
13.23, 0.113199
13.24, 0.108565
13.25, 0.103928
13.26, 0.0992883
13.27, 0.0946469
13.28, 0.0900034
13.29, 0.085358
13.3, 0.0807107
13.31, 0.0760616
13.32, 0.071411
13.33, 0.0667587
13.34, 0.062105
13.35, 0.05745
13.36, 0.0527937
13.37, 0.0481362
13.38, 0.0434777
13.39, 0.0388183
13.4, 0.034158
13.41, 0.029497
13.42, 0.0248353
13.43, 0.0201731
13.44, 0.0155105
13.45, 0.0108475
13.46, 0.00618427
13.47, 0.00152092
13.48, 0.00314246
13.49, 0.00780578
13.5, 0.0124689
13.51, 0.0171318
13.52, 0.0217943
13.53, 0.0264563
13.54, 0.0311178
13.55, 0.0357786
13.56, 0.0404386
13.57, 0.0450977
13.58, 0.0497558
13.59, 0.0544129
13.6, 0.0590688
13.61, 0.0637233
13.62, 0.0683766
13.63, 0.0730283
13.64, 0.0776784
13.65, 0.0823268
13.66, 0.0869735
13.67, 0.0916182
13.68, 0.096261
13.69, 0.100902
13.7, 0.10554
13.71, 0.110176
13.72, 0.11481
13.73, 0.119441
13.74, 0.12407
13.75, 0.128696
13.76, 0.133319
13.77, 0.13794
13.78, 0.142557
13.79, 0.147171
13.8, 0.151782
13.81, 0.15639
13.82, 0.160994
13.83, 0.165595
13.84, 0.170192
13.85, 0.174786
13.86, 0.179375
13.87, 0.183961
13.88, 0.188543
